"No.","Material No.","Item and Spec","Qty","Remark"
"1","00772100300600000","Second telescopic boom","1",""
"2","00772100301071010","Pin Φ40*","2",""
"3","1080000006","Oil cup M8×1","2","JB/T7940.1-1995"
"4","00772100301081020","Bearing Φ40*","4",""
"5","00772100301081010","PulleyT32*","2",""
"6","1040300125","Check ring 80","2","GB/T893.1-1986"
"7","00772100301071020","Cover Tp8","2",""
"8","1040301515","Washer 8-200HV","2","GB/T97.1-2002"
"9","1040004590","Bolt M8×14-8.8","2","GB/T5783-2000"
"10","1040101492","Screw M10×25-8.8","2","GB/T70.1-2000"
"11","1040302489","Washer 10-200HV","42","GB/T97.1-2002"
"12","00771900301001170","Retracting boom pulley Protective plate T30","1",""
"13","00771900301030000","Wire rope support","1",""
"14","00771900301100000","Rotary seat","1",""
"15","00771900301001100","Pin φ30*","1",""
"16","00771600301001250","Stop pin Φ10×60*","1",""
"17","00771900300801420","Adjustable gasket Tp1.5","4",""
"18","00772100301690000","Slider","2",""
"19","00771100301301020","Hexagon nut","10",""
"20","1040101995","Screw M10×30-8.8-DKL","6","GB/T70.1-2000"
"21","1040100111","Screw M10×35-8.8","4","GB/T70.1-2000"
"22","00772100301450000","Slider","2",""
"23","1040102761","Screw M10×20-8.8","4","GB/T70.1-2000"
"24","00771900301401020","Slider T20","2",""
"25","00771900301401060","Adjustable gasket Tp1","2",""
"26","00771900301401050","Adjustable gasket Tp2","4",""
"27","1040002555","Bolt M6×16-A2-70","16","GB/T5783-2000"
"28","104030000771","Washer 6-200HV","26","GB/T97.1-2002"
"29","00772100301630000","Upper dust-proof brush","1",""
"30","00772100301650000","Side dust-proof brush","2",""
"31","00772100301660000","Slider","2",""
"32","00772100301601040","Block T10","2",""
"33","00772100301601050","Adjustable gasket Tp2","2",""
"34","00772100301601130","Adjustable gasket Tp1","4",""
"35","1040302480","Washer 8-200HV","2","GB/T96.1-2002"
