"No.","Material No.","Item and Spec","Qty","Remark"
"1","1040004519","Bolt M8×25-8.8","20","GB/T5783-2000"
"2","1040301515","Washer 
  8-200HV","35","GB/T97.1-2002"
"3","1040004521","Bolt M8×45-8.8","4","GB/T5783-2000"
"4","00771407100601240","Plate III","2",""
"5","00771407100601160","PlateⅠ","1",""
"6","00771407100601150","Plate Ⅱ","2",""
"7","00772107100601130","Windscreen","1",""
"8","00771407100601120","Bending plate Ⅱ","1",""
"9","00771407100601100","Bending plate Ⅳ","1",""
"10","1000300735","Expansion tank","1",""
"11","1040200503","Nut M8-8","19","GB/T889.1-2000"
"12","00771407100601290","Sponge bar I","1",""
"13","1990202288","Spiral Turbine Rod Clamp","6",""
"14","00771407100601060","Rubber joint Ⅰ","1",""
"15","1990202279","Turbine Rod Clamp","6",""
"16","00771407100601090","Steam hose Ⅰ","1",""
"17","00771407100601070","Steam hose Ⅱ","1",""
"18","00771407100601080","Water supply pipe","1",""
"19","1990202282","Turbine Rod Clamp","2",""
"20","00771407100601050","Rubber joint Ⅱ","1",""
"21","00771907100601040","Rubber joint Ⅲ","1",""
"22","00771407100601250","Joint","1",""
"23","00771407100601260","Steam hose III","1",""
"24","1000300702","Fan assembly","1",""
"25","00771407100601170","Pad","6",""
"26","1000300701","Radiator assembly","1",""
"27","1040002262","Bolt M12×55-10.9","4","GB/T5783-2000"
"28","1040301031","Washer 12-300HV","4","GB/T96.1-2002"
"29","1040200507","Nut M12-8","4","GB/T889.1-2000"
"30","00771407100601110","Bending plate Ⅲ","1",""
"31","1040004517","Bolt M8×16-8.8","8","GB/T5783-2000"
