"No.","Material No.","Item and Spec","Qty","Remark"
"1","1040004519","Bolt M8×25-8.8","16","GB/T5783-2000"
"2","1040301515","Washer 8-200HV","33","GB/T97.1-2002"
"3","00771407120601170","Plate I","2",""
"4","00771407120601180","Plate II","2",""
"5","00771907110601150","Windscreen","1",""
"6","1040004619","Bolt M8×35-8.8","4","GB/T5783-2000"
"7","00771407120601110","Bending plate I","1",""
"8","1000300735","Expansion tank","1",""
"9","00771407120601160","Bending plate V","1",""
"10","00771407120601130","Bending plate III","1",""
"11","00771407120601140","Bending plate IV","1",""
"12","1990202279","Turbine Rod Clamp","4",""
"13","00771407120601050","Steam hose I","1",""
"14","00771407120601060","Steam hose II","1",""
"15","1990202287","Spiral Turbine Rod Clamp","3",""
"16","00771407120601020","Rubber hose II","1",""
"17","1040002435","Bolt M10×35-8.8","4","GB/T5783-2000"
"18","1000300809","Fan assembly","1",""
"19","1040200504","Nut M10-8","4","GB/T889.1-2000"
"20","00771407120601080","Fan block","1",""
"21","1040004508","Bolt M10×45-8.8","4","GB/T5783-2000"
"22","1040302489","Washer 10-200HV","8","GB/T97.1-2002"
"23","1990202288","Spiral Turbine Rod Clamp","3",""
"24","00771407120601100","Rubber joint II","1",""
"25","00771407120601010","Return pipe","1",""
"26","00771407120601090","Rubber joint I","1",""
"27","1990202282","Turbine Rod Clamp","2",""
"28","00771407120601040","Water supply pipe","1",""
"29","1000300776","Radiator assembly","1",""
"30","00771407100601170","Pad","6",""
"31","1040002262","Bolt M12×55-10.9","4","GB/T5783-2000"
"32","1040301031","Washer 
  12-300HV","4","GB/T96.1-2002"
"33","1040200507","Nut M12-8","4","GB/T889.1-2000"
"34","00771407120601120","Bending plate II","1",""
"35","1040004517","Bolt M8×16-8.8","11","GB/T5783-2000"
"36","1040200503","Nut M8-8","22","GB/T889.1-2000"
"37","00771407120601190","Plate III","1",""
"38","1040004520","Bolt M8×30-8.8","2","GB/T5783-2000"
