"No.","Material No.","Item and Spec","Qty","Remark"
"1","00771602800610000","Outrigger weld","4",""
"2","1040100421","Screw M8×20-8.8","8","GB/T70.3-2000"
"3","00771602802200000","Steering cylinder inner pin","4",""
"4","00771602800001190","Clapboard","4",""
"5","00771602800001180","Sensor mounting seat","4",""
"6","00771602800001200","Cover","4",""
"7","1040100857","Screw M6×15-8.8","20","GB/T70.1-2008"
"8","1040002434","Bolt M10×25-8.8","64","GB/T5783-2000"
"9","1040302489","Washer 10-200HV","64","GB/T97.1-2002"
"10","00771602800001010","Steering upper main pin","4",""
"11","00771602800001020","Wear pad","8",""
"12","00771602800001470","Lubrication-free bearing IV","8",""
"13","00771602802000000","Steering frame weld","4",""
"14","1040004520","Bolt M8×30-8.8","4","GB/T5783-2000"
"15","00773400300001070","Bearing","8",""
"16","00771602801000000","Steering cylinder","4",""
"17","00771602800001450","Steering cylinder bush","4",""
"18","00771602800001080","Steering cylinder pin","4",""
"19","00771602800001330","Lubrication-free bearing I","4",""
"20","1040004511","Bolt M12×30-8.8","4","GB/T5783-2000"
"21","00773400200001070","Stop pin","4",""
"22","00771602800001130","Lower cover","4",""
"23","00771602800001120","Steering lower main pin","4",""
