"No.","Material No.","Item and Spec","Qty","Remark"
"1","00772100300800000","Third telescopic boom","1",""
"2","1040302489","Washer 10-200HV","14","GB/T97.1-2002"
"3","1040004508","Bolt M10×45-8.8","4","GB/T5783-2000"
"4","00771900301801050","Adjustable gasket Tp2","4",""
"5","00771900301801040","Block T10","2",""
"6","00772100301860000","Slider","2",""
"7","00771900300801420","Adjustable gasket Tp1.5","4",""
"8","00772100301690000","Slider","2",""
"9","1040004565","Bolt M10×30-8.8-DKL","6","GB/T5783-2016"
"10","00771900301801020","Pressing block Tp12","2",""
"11","1040006017","Screw M6×25-A2-70","8",""
"12","00771900301851010","Lower slider T24","2",""
"13","1040102761","Screw M10×20-8.8","4","GB/T70.1-2000"
"14","00772100300001090","Lubrication-free bearing","4",""
"15","00772100302000000","Leveling cylinder","1",""
"16","00772100300001010","Jib connecting pin","1",""
"17","00773400200001070","Stop pin","1",""
"18","1040004511","Bolt M12×30-8.8","1","GB/T5783-2000"
