"No.","Material No.","Item and Spec","Qty","Remark"
"35","00772100301401010","Pressing plate Tp12","1",""
"36","00772100301201060","Slider","1",""
"37","00772100301201050","Slider","1",""
"38","00772100301201020","Slider","12",""
"39","00772100301001030","Second extending wire rope","2",""
"40","00772100301101020","Plate Tp5","2",""
"41","00772100301001170","Lubrication-free bearing (with 
flange)","2",""
"42","00772100301111010","Pulley","2",""
"43","00772100301111020","Beam barrel","2",""
"44","00772100301101010","Axle","2",""
"45","00772100301001190","Snap-gauge Tp8","2",""
"46","1040301511","Washer 24-200HV","2","GB/T97.1-2002"
"47","1040002434","Bolt M10×25-8.8","8","GB/T5783-2000"
"48","1040201111","Nut M24-10","2","GB/T889-1986"
"49","1040200161","Nut M16-8","2","GB/T889-1986"
"50","1040001640","Bolt M6×25-A2-70","4","GB/T5783-2000"
"51","1040201382","Nut M16-8","2","GB/T6170-2000"
"52","00772100301001130","Snap-gauge Tp5","2",""
"53","00772100301001040","Second retracting wire rope","2",""
