"No.","Material No.","Item and Spec","Qty","Remark"
"1","1040004619","Bolt M8×35-8.8","2","GB/T5783-2000"
"2","1040301515","Washer 8-200HV","2","GB/T97.1-2002"
"3","1000100391","Air filter assembly","1",""
"4","00771407100801030","Air intake pipe Ⅲ","1",""
"5","00771407100801040","Air intake steel tube","1",""
"6","1990202289","Spiral Turbine Rod Clamp","2",""
"7","00771407100801020","Air intake pipe Ⅱ","1",""
"8","1040200503","Nut M8-8","2","GB/T889.1-2000"
"9","1990202290","Spiral Turbine Rod Clamp","3",""
"10","00771407100801010","Air intake pipe Ⅰ","1",""
