"No.","Material No.","Item and Spec","Qty","Remark"
"1","1040004029","Bolt M12×35-10.9","4","GB/T5783-2000"
"2","1040301503","Washer 12","4","GB/T93-1987"
"3","1010100843","Rotary motor OMPX50（11186738）","2",""
"4","1030202444","Rotary reducer SL06","2",""
"5","772100900001010","Reducer mounting plate Tp25","1",""
"6","1040005853","Bolt M20×140-10.9","60","GB/T1228-1991"
"7","1040302493","Washer 20-200HV","60","GB/T97.1-2002"
"8","1040004513","Bolt M14×40-10.9","18","GB/T5783-2000"
"9","1040000577","Bolt M16×60-10.9","16","GB/T5783-2000"
"10","1040302492","Washer 16-200HV","16","GB/T97.1-2002"
"11","1040302491","Washer 14-200HV","18","GB/T97.1-2002"
"12","1040002450","Bolt M16×80-8.8","2","GB/T5783-2000"
"13","1040201882","Nut M16","2","GB/T6172-2000"
"14","1031500371","Rotary bearing m=8，z=130，×=+0.5","1",""
