"No.","Material No.","Item and Spec","Qty","Remark"
"50","1040200507","Nut M12-8","3","GB/T889.1-2000"
"51","771600800001320","Rubber pad T4","1",""
"52","772100800001050","Radiator mounting plate Tp6","1",""
"53","1040002446","Bolt M16×40-8.8","2","GB/T5783-2000"
"54","1040302492","Washer 16-200HV","6","GB/T97.1-2002"
"55","1040201382","Nut M16-8","6","GB/T6170-2000"
"56","772100800001020","Diagonal draw bar IL75×50×6","2",""
"57","772100800400000","Oil tank bracket","1",""
"58","1040006015","Bolt M16×55-8.8","4",""
"59","1040201089","Nut M8-8","1","GB/T6170-2000"
"60","1040301510","Washer 8","1","GB/T93-1987"
"61","772100800001040","Connecting plate Tp5","1",""
"62","1040004519","Bolt M8×25-8.8","1","GB/T5783-2000"
"63","1040301502","Washer 10","9","GB/T93-1987"
"64","1040302489","Washer 10-200HV","12","GB/T97.1-2002"
"65","1040005846","Bolt M12×20-8.8","4","GB/T5783-2000"
"66","771900800001090","Breakwater Tp4","1",""
"67","1040002433","Bolt M10×20-8.8","3","GB/T5783-2000"
"68","772100800001010","Gear housing Tp2","1",""
"69","771600800001150","Limit switch mounting plate Tp5","1",""
"70","1040200503","Nut M8-8","2","GB/T889.1-2000"
"71","771600800001130","Swivel joint mounting plate Tp10","1",""
"72","1040004520","Bolt M8×30-8.8","2","GB/T5783-2000"
"73","771600800001020","Supporting block T37*","1",""
"74","771600800001120","Main valve bracket Tp5","1",""
"75","1040000090","Bolt M10×30-8.8","5","GB/T5783-2000"
