"No.","Material No.","Item and Spec","Qty","Remark"
"1","1000000792","Diesel engine","1",""
"2","1040001631","Bolt M6×20-A2-70","4","GB/T5783-2000"
"3","1040004517","Bolt M8×16-8.8","2","GB/T5783-2000"
"4","1040301515","Washer 
  8-200HV","2","GB/T97.1-2002"
"5","00771400800001220","Contact0r mounting bracket","1",""
"6","00773407100201020","Bending plate II","1",""
"7","1040302491","Washer 14-200HV","4","GB/T97.1-2002"
"8","1040004513","Bolt M14×40-10.9","4","GB/T5783-2000"
"9","1030400480","Elastic coupling assembly","1",""
"10","1040004033","Bolt M10×25-10.9","8","GB/T5783-2000"
"11","1040100875","Screw M10×25-8.8","12","GB/T70.1-2008"
"12","00773407100201070","Coupling cover","1",""
"13","00772107100210000","Engine tray","1",""
"14","1040200161","Nut M16-8","4","GB/T889-1986"
"15","00773407100201050","Pad","4",""
"16","1009900942","Engine damper","8",""
"17","00773407100201010","Bending plate I","1",""
"18","00773407100201030","Bending plate IV","1",""
"19","1040301016","Washer 
  16-300HV","4","GB/T97.1-2002"
"20","1040003912","Bolt M16×120-10.9-DKL","4","GB/T5783-2000"
"21","1040000490","Bolt M12×30-10.9","4","GB/T5783-2000"
"22","1040301867","Washer 14-140HV","4","GB/T97.1-2002"
"23","00773407100201040","Bending plate III","1",""
