"No.","Material No.","Item and Spec","Qty","Remark"
"1","1040004619","Bolt M8×35-8.8","4","GB/T 5783-2000"
"2","1040301515","Washer 8-200HV","16","GB/T 97.1-2002"
"3","00773400100401020","Pressing plate","2",""
"4","1040004654","Bolt M16×1.5×40-10.9","8","GB/T 5787-1986"
"5","1040301511","Washer 24-200HV","8","GB/T 97.1-2002"
"6","00771600100420000","Transition seat","1",""
"7","1021404016","Load cell","1",""
"8","00771600100410000","Tray weld","1",""
"9","00771600100001030","Platform protective hook II","2",""
"10","1040302493","Washer 20-200HV","4","GB/T 97.1-2002"
"11","1040004499","Bolt M20×45-8.8","4","GB/T 5783-2000"
"12","1040201089","Nut M8-8","6","GB/T 6170-2000"
"13","00773400100401040","Cushion block","3",""
"14","1040301510","Washer 8","6","GB/T 93-1987"
"15","1040103118","Screw M8×100-8.8","6","GB/T 70.1-2000"
