"No.","Material No.","Item and Spec","Qty","Remark"
"1","1040004518","Bolt","4","M8×20-8.8"
"2","1040301510","Washer","4","8"
"3","1040004518","Bolt","4","M8×20-8.8"
"4","1010306667","Steering axle expanding valve","1","R930074148"
"5","1140101941","Male stud connector","1","GE10LR3/8EDOMDCF"
"6","1140101463","Male stud connector","1","GE12LR1/2EDOMDCF"
"7","1140101477","Tube to swivel","1","EW12LOMDCF"
"8","1140108469","Male stud connector","6","GE08LR3/8EDOMDCF"
"9","1140102959","Tube to swivel","2","EL08LOMDCF"
"10","1140111237","Male stud connector","1","GE08LREDOMDCF"
