"No.","Material No.","Item and Spec","Qty","Remark"
"1","1029906298","Axle limit switch (rear-right)","1",""
"2","1021404304","Steering angle sensor of rear-right wheel","1",""
"3","1029906298","Axle limit switch (rear-left)","1",""
"4","1021404304","Steering angle sensor of rear-left wheel","1",""
"5","/","Front lifting cylinder valve","/",""
"6","/","Rear lifting cylinder valve","/",""
"7","/","Slip ring plug 1","/",""
"8","/","Slip ring plug 2","/",""
"9","/","Float control valve","/",""
"10","/","Two-speed valve","/",""
"11","/","Brake valve","/",""
"12","1029906298","Front lifting cylinder limit switch","",""
"13","1029906298","Axle limit switch (front-left)","",""
"14","1021404304","Steering angle sensor of front-left wheel","",""
"15","1029906298","Axle limit switch (front-right)","",""
"16","1021404304","Steering angle sensor of front-right wheel","",""
"17","/","Retracting valve of front axle","/",""
"18","/","Steering retracting valve (front-right)","/",""
"19","/","Steering retracting valve (front-left)","/",""
"20","/","Steering extending valve (front-left)","/",""
"21","/","Steering extending valve (front-right)","/",""
"22","/","Front axle extending valve","/",""
"23","/","Steering extending valve(rear-left)","/",""
"24","/","Steering extending valve (rear-right)","/",""
"25","/","Rear axle extending valve","/",""
"26","/","Rear axle retracting valve","/",""
"27","/","Steering retracting valve (rear-right)","/",""
"28","/","Steering retracting valve (rear-left)","/",""
"29","","Limit switch of rear lifting cylinder","",""
"30","/","Chassis controller plug-in","/",""
