"No.","Material No.","Item and Spec","Qty","Remark"
"1","1990202279","Turbine Rod Clamp","8",""
"2","00772107110401020","Fuel pipe Ⅰ","1",""
"3","1040301515","Washer 8-200HV","7","GB/T97.1-2002"
"4","1040004518","Bolt M8×20-8.8","3","GB/T5783-2000"
"5","1040200503","Nut M8-8","8","GB/T889.1-2000"
"6","1040002458","Bolt M8×40-8.8","2","GB/T5783-2000"
"7","00771407120401010","Bending plate I","1",""
"8","1040004619","Bolt M8×35-8.8","2","GB/T5783-2000"
"9","00773407100401060","Hollow bolt M16×1.5×35","2",""
"10","1081000673","Combined seal washer","4","JB/T982-1977"
"11","00773407100401050","Joint II","2",""
"12","1140114594","Fast change joint","2",""
"13","00771907110401030","Fuel pipe Ⅱ","1",""
"14","00772107110401040","Fuel pipe Ⅲ","1",""
"15","1990200692","Plastic tape","5",""
"16","1040300771","Washer 6-200HV","5","GB/T97.1-2002"
"17","1040005844","Bolt M6×10-A2-70","5","GB/T5783-2000"
"18","00772107110401050","Fuel pipe Ⅳ","1",""
"19","1140114596","Fast change joint","1",""
"20","1140114593","Fast change joint","1",""
"21","1040002434","Bolt M10×25-8.8","4","GB/T5783-2000"
"22","1040302512","Washer 10-200HV","4","GB/T96.1-2002"
"23","1040302480","Washer 8-200HV","4","GB/T96.1-2002"
"24","00771607110410000","Fuel tank assembly","1",""
