"No.","Material No.","Item and Spec","Qty","Remark"
"1","00772106200630010","Turntable Electric Cables","1",""
"2","1020305006","Preheating DC contactor","1",""
"3","/","Engine diagnosis port","/",""
"4","/","Reverse valve (right side)","/",""
"5","/","Forward valve (right side)","/",""
"6","/","Reverse valve (left side)","/",""
"7","/","Forward valve (left side)","/",""
"8","/","Start motor relay","/",""
"9","/","Engine ECU plug","/",""
"10","/","Engine excitation","/",""
"11","1020700540","Terminal resistance","1",""
"12","/","Coolant level","/",""
"13","/","Air filter blockage","/",""
