"No.","Material No.","Item and Spec","Qty","Remark"
"1","1040004507","Bolt M10×40-8.8","4","GB/T5782-2000"
"2","1040302489","Washer 10-200HV","4","GB/T97.1-2002"
"3","00771602800001480","Plate","2",""
"4","00771602801600000","Cable chain system","4",""
"5","1040002178","Bolt M6×30-A2-70","16","GB/T5783-2000"
"6","1040300771","Washer 6-200HV","16","GB/T97.1-2002"
"7","00771602800001350","Lubrication-free bearing III","2",""
"8","00771602800001140","Rotary pin","1",""
"9","00771602800001410","Rotary axle wear pad","1",""
"10","00773400400001170","Stop pin","1",""
"11","1040004499","Bolt M20×45-8.8","1","GB/T5783-2000"
