"No.","Material No.","Item and Spec","Qty","Remark"
"1","00771407120801060","Air intake pipe III","1",""
"2","1990202290","Spiral Turbine Rod Clamp","2",""
"3","1000100391","Air filter assembly","1",""
"4","00771407120801030","Air intake pipe II","1",""
"5","00771407120801020","Air intake steel tube","1",""
"6","1040004519","Bolt M8×25-8.8","4","GB/T5783-2000"
"7","00771407120801050","Bending plate II","1",""
"8","00771407120801010","Air intake pipe I","1",""
"9","1990202289","Spiral Turbine Rod Clamp","3",""
"10","00771407120801040","Bending plate I","1",""
"11","1040004619","Bolt M8×35-8.8","2","GB/T5783-2000"
"12","1040301515","Washer 8-200HV","6","GB/T97.1-2002"
"13","1040200503","Nut M8-8","4","GB/T889.1-2000"
