"No.","Material No.","Item and Spec","Qty","Remark"
"1","1040004517","Bolt M8×16-8.8","1","GB/T5783-2000"
"2","1040301515","Washer 8-200HV","1","GB/T97.1-2002"
"3","00771900301091020","Stop plate Tp5","1",""
"4","00771900301091010","Roller pin","1",""
"5","00772100301001180","Roller bearing O33×4×50","2",""
"6","1040004658","Bolt M10×110-8.8","3","GB/T5782-2000"
"7","1040302489","Washer 10-200HV","12","GB/T97.1-2002"
"8","00771900311001150","End slider T70*","1",""
"9","00771900301061010","Roller Tp50","2",""
"10","00771900301061020","Roller Beam barrel","2",""
"11","00771900301001080","Copper gasket Tp3","3",""
"12","00772100301001050","Extending boom pulley ⅠProtective 
plate T120","1",""
"13","1040501287","Pin 5h8×14-A1","6",""
"14","00772100301021010","PulleyT115*","1",""
"15","00771900311001260","Lubrication-free bearing O53×4","2",""
"16","1040004595","Bolt M10×180-8.8","1","GB/T5782-2000"
"17","00771900301021020","First extending boom pulley Beam 
barrel","1",""
"18","1040102757","Screw M10×25-8.8","1","GB/T70.3-2000"
"19","00772100301040000","First extending boom pulley 
bracket","1",""
"20","00771900311091010","First extending boom pulley Axle 
φ45*","1",""
"21","1040200113","Nut M10-8","4","GB/T6170-2000"
