"No.","Material No.","Item and Spec","Qty","Remark"
"1","1040004520","Bolt M8×30-8.8","46","GB/T5783-2000"
"2","1040302480","Washer 8-200HV","164","GB/T96.1-2002"
"3","1101000089","Hinge CCM-Z270","7",""
"4","1040301510","Washer 8","35","GB/T93-1987"
"5","1040201089","Nut M8-8","57","GB/T6170-2000"
"6","1110100363","Gas spring F=900N,","2",""
"7","1110100302","Gas spring F=800N","4",""
"8","00771401110001030","Pressing plate","6",""
"9","1040302492","Washer 16-200HV","12","GB/T97.1-2002"
"10","1040301505","Washer 16","12","GB/T93-1987"
"11","1040201382","Nut M16-8","12","GB/T6170-2000"
"12","00771601000001060","Plate Tp6","1",""
"13","00771901101000000","Hood welds (Front-left)","1",""
"14","00771901100001330","Pull rope Tp3","1",""
"15","00771901104200000","Hood welds (Rear-left)","1",""
"16","00771601102001020","Round steel 10","1",""
"17","1040200113","Nut M10-8","16","GB/T6170-2000"
"18","1040302512","Washer 10-200HV","25","GB/T96.1-2002"
"19","00771901103201010","Mounting plate Tp6","1",""
"20","1109900765","Hydraulic door lock 50075-C37K","2",""
"21","1100700163","Door handler 26983-09","3",""
"22","1040100105","Screw M6×25-8.8","20","GB/T70.1-2000"
"23","1040200504","Nut M10-8","8","GB/T889.1-2000"
"24","1040004507","Bolt M10×40-8.8","6","GB/T5783-2000"
"25","1040102774","Screw M6×15-8.8","6","GB/T70.1-2000"
"26","00771401110001010","Key 
cylinder  mounting 
plate 
(Front-right) Tp6","1",""
"27","1040101643","Screw M6×30-A2-70","1","GB/T70.1-2000"
"28","1040300771","Washer 6-200HV","27","GB/T97.1-2002"
"29","00771101100001080","Key cylinder mounting plate","1",""
"30","1040004678","Door knob bolt M10×70","4",""
"31","00771901100001310","Mounting plate Tp6","1",""
"32","1040004033","Bolt M10×25-10.9","3","GB/T5783-2000"
"33","00771601101001020","Screw Φ10","1",""
