"No.","Material No.","Item and Spec","Qty","Remark"
"1","1140107814","Male stud connector","1","GE08L7/16UNFOMDCF"
"2","1010001791","Main pump","1","JR-R-S45B-LS-21-20-NN-N
-3-C2NE-A8N-NNN-JJJ-NN
N"
"3","1140105072","Male stud connector","2","GE28L11/16UNFOMDCF"
"4","1140103405","Male stud connector","2","GE12L9/16UNFOMDCF"
"5","1140111291","Tube to swivel","2","EL12LOMDCF"
"6","1140103405","Male stud connector","2","GE12L9/16UNFOMDCF"
"7","1140101478","Tube to swivel","2","EW15LOMDCF"
"8","1149901795","Male stud connector","3","GE15L11/16UNFOMDCF"
"9","1010002059","Close pump","1","MP1-P-28R-AM-NNN-MA4
-C2-F-G4-R-D22-N-345-345
-NN-N-24-C1-RAC-NNN-N
NNN"
"10","1140114915","Male stud connector","2","GE16S11/16UNFOMDCF-L
65"
"11","1010002058","Close pump","1","MP1-P-28R-AM-NNN-MA4
-C2-F-G5-R-D22-N-345-345
-NN-N-24-C1-RAC-NNN-N
NNN"
"12","1140114914","Male stud connector","2","GE16S11/16UNFOMDCF"
"13","1140105246","Male stud connector","1","GE15L7/8UNFOMDCF"
