"No.","Material No.","Item and Spec","Qty","Remark"
"1","1040002464","Bolt M16×50-8.8","4","GB/T5782-2000"
"2","00773400400001250","Stop pin","4",""
"3","00771602800001210","Float cylinder pin II","2",""
"4","00771602801400000","Float cylinder","2",""
"5","00771602800001170","Float cylinder pin I","2",""
"6","00771602800001420","Adjustable plate of rotary bracket 
slider","4",""
"7","00771602800001430","Adjustable plate of rotary bracket 
slider II","4",""
"8","1040004508","Bolt M10×45-8.8","6","GB/T5783-2000"
"9","1040302489","Washer 10-200HV","98","GB/T97.1-2002"
"10","00771602803400000","Rotary frame slider assembly","2",""
"11","1040004509","Bolt M10×50-8.8","24","GB/T5783-2000"
"12","00771602800001240","Outrigger upper adjustable shim II","12",""
"13","00772102800001020","Outrigger upper adjustable shim","4",""
"14","00772102801400000","Slider","8",""
"15","1040004507","Bolt M10×40-8.8","52","GB/T5783-2000"
"16","1040101122","Screw M10×35-8.8","4","GB/T70.3-2000"
"17","00771602800001220","Adjustable shim","96",""
"18","00772102800001010","Outrigger side adjustable shim","32",""
"19","00772102801200000","Slider","32",""
"20","00772102800800000","Slider","8",""
"21","1040004565","Bolt M10×30-8.8-DKL","16","GB/T5783-2016"
"22","00771602800001300","Plate","4",""
"23","1040004245","Bolt M8×55-8.8","4","GB/T27-1988"
"24","00771602803200000","Limit switch pin","4",""
"25","1040101492","Screw M10×25-8.8","8","GB/T70.1-2000"
"26","00771602800400000","Rotary bracket weld","1",""
"27","00771602801200000","Outrigger telescopic cylinder","4",""
"28","00771602800001320","Adjustable shim of telescopic cylinder","48",""
"29","00771602800001310","Telescopic cylinder pressing plate","8",""
"30","1040301515","Washer 8-200HV","16","GB/T97.1-2002"
"31","1040002265","Bolt M8×25-10.9","16","GB/T5873-2000"
"32","00771602800610000","Outrigger weld","4",""
