"No.","Material Code","Item and Spec","Qty","Remark"
"1","00773407000201061","Label- Refuel 160×80","2",""
"2","00773407000401071","Hazard- Electrocution hazards
160×80","4",""
"9","00773407000401191","Hazard- Crushing hazard 160×80","2",""
"12","00773407000201491","Label- Max oil level 100×60","1",""
"18","00771407000401151","Label- Diesel oil tank 160×80","2",""
"19","00773407000401321","Hazard- Crushing hazard 160×80","2",""
"21","00773407000401371","Hazard- Explosion hazard I
160×80","2",""
"23","00773407000401391","Caution-Preserve the manual
160×60","1",""
"24","00772107000401220","Label- Work Platform
630 ×270","1",""
"25","00773407000201411","Label- Lanyard anchorage point
50×20","6",""
"26","00773407000201421","Label- Tie down 45×60","8",""
"27","00773407000201431","Label- Prohibit lifting 45×60","4",""
"28","00773407000401221","Platform Indicator Panel Instruction
480×40","1",""
"31","00773407000201481","Decal- Low oil level 100×60","1",""
"35","00771407000401161","Label- Hydraulic oil tank 160×80","1",""
"36","00773407000401141","Label- Platform Console Instruction
360×60","1",""
"42","00771407000201130","Label- ZOOMLION 1600×200","1",""
"43","00772107000201030","Label- ZT42J 820×200","1",""
"44","00773407000201010","Label- ZOOMLION 560×70","1",""
"46","1109900961","Warning Tape","-",""
