"No.","Material No.","Item and Spec","Qty","Remark"
"1","00771607110410000","Fuel tank assembly 
  200L","1",""
"2","1990202279","Turbine Rod Clamp","12",""
"3","00772107100401030","Fuel pipe V","1",""
"4","00772107100401050","Fuel pipe IV","1",""
"5","1990200692","Plastic tape","5",""
"6","1040300771","Washer 6-200HV","9","GB/T97.1-2002"
"7","1040005844","Bolt M6×10-A2-70","4","GB/T5783-2000"
"8","1000400478","Oil water separator 
FH2380500M","1",""
"9","1040301515","Washer 8-200HV","8","GB/T97.1-2002"
"10","1040002458","Bolt M8×40-8.8","2","GB/T5783-2000"
"11","1040302489","Washer 10-200HV","2","GB/T97.1-2002"
"12","1040004619","Bolt M8×35-8.8","2","GB/T5783-2000"
"13","1081000673","Combined seal washer","10","JB/T982-1977"
"14","00773407100401060","Hollow bolt M16×1.5×35","5",""
"15","00773407100401050","Joint II10","5",""
"16","00771407100401100","Bending plate IV Tp8","1",""
"17","00771407100401040","Fuel pipe Ⅲ","1",""
"18","00771407100401030","Fuel pipe Ⅱ","1",""
"19","1040004518","Bolt M8×20-8.8","4","GB/T5783-2000"
"20","1040001631","Bolt M6×20-A2-70","5","GB/T5783-2000"
"21","1040201896","Nut M6-8","5","GB/T889.1-2015"
"22","00771107100401070","Bending plate","1",""
"23","00772107100401020","Fuel pipe Ⅰ","1",""
"24","1040004565","Bolt M10×30-8.8-DKL","2","GB/T5783-2016"
"25","00771407100401070","Fuel pipe Ⅵ","1",""
"26","1149901739","Fast change joint","2",""
"27","1149901738","Fast change joint","1",""
"28","1040004519","Bolt","2","GB/T5783-2000"
"29","1040200504","Nut","2","GB/T889.1-2000"
"30","1040302480","Washer","4","GB/T96.1-2002"
"31","1040302512","Washer","4","GB/T96.1-2002"
"32","1040002434","Bolt","4","GB/T5783-2000"
"33","1040200503","Nut","10","GB/T889.1-2000"
"34","00773407100401030","Bending plate III","1",""
