"No.","Material Code","Item and Spec","Qty","Remark"
"2","00773407000401071","Hazard- Electrocution
hazards160×80","4",""
"3","00773407000401081","Label- Ground controls instruction
240×80","1",""
"4","00773407010401031","Handrail position 80×20","2",""
"6","00773407000401511","Cold Starting 240×80","1",""
"8","00773407000201181","Label- Prohibit step on 80×80","4",""
"10","00773407000401201","Caution- Prohibit lanyard 160×20","3",""
"11","00773407000401211","Hazard- Crushing hazard160×80","2",""
"13","00773407000401231","Warn- Foot switch malfunction
100×80","1",""
"14","00773407000201241","Label- Prohibit lifting 45×60","6",""
"16","00772107000401210","Label-Hood 750×270","1",""
"26","00773407000201421","Label- Tie down 45×60","8",""
"30","00773407000401471","Hazard- Burn hazards 160×80","2",""
"37","00771407000201080","Label- Blue arrow 210×180","3",""
"38","00771407000201090","Label- Yellow arrow 210×180","3",""
"39","00771407000201100","Label- Yellow triangle 90×180","2",""
"40","00771407000201110","Label- Blue triangle 90×180","2",""
"41","00771407000201120","Label- ZOOMLION 960×120","2",""
"46","1109900961","Warning Tape","-",""
"48","00771407000201250","Label-Noise level 80×80","1",""
"49","00771407000401191","QR code 80×80","1",""
