"No.","Material No.","Item and Spec","Qty","Remark"
"1","1022200683","Turntable electric box","1",""
"2","1022270089","Turntable electric box","1",""
"3","1020705067","Turntable electric box","1",""
"4","/","Manual operating connector","/",""
"5","/","Unloading valve","/",""
"6","/","Boom lifting valve","/",""
"7","/","Boom extending valve","/",""
"8","/","Turntable left turn valve","/",""
"9","/","Boom lowering valve","/",""
"10","/","Boom retracting valve","/",""
"11","/","Turntable right-turn valve","/",""
"12","/","Chassis flow valve","/",""
"13","/","Platform flow valve","/",""
"14","/","Emergency lowering vlave","/",""
"15","/","Slip ring plug 1","/",""
"16","","Slip ring plug 2","/",""
"17","1029906298","Turntable steering angle limit","1",""
"18","1021404019","Frame leveling angle sensor","1",""
"19","1029905348","Battery","1",""
"20","/","Public ground (bonding)","/",""
"21","/","Auxiliary power pump relay","/",""
"22","00772106200630020","ECU electric cable","1",""
"23","/","Fuel pump","/",""
"24","/","Fuel level","/",""
"25","/","Radiator","/",""
"26","1020304982","Alarm buzzer","1",""
"27","/","Road light (option)","/",""
"28","/","Alarm light plug","/",""
"29","00772106200230300","Boom electric cables","1",""
"30","00772106200241000","Electric chain cables","1",""
