"No.","Material No.","Item and Spec","Qty","Remark"
"1","00772106200210000","Platform electric box","1",""
"2","/","Anti-crushing switch 1（option）","/",""
"3","/","Anti-crushing switch 2（option）","/",""
"4","/","Platform leveling-up valve","/",""
"5","/","Jib lifting valve","/",""
"6","/","Platform left-turn valve","/",""
"7","","Platform left-rotating valve","",""
"8","/","Jib right-turn valve","/",""
"9","","Platform right-turn valve","",""
"10","/","Jib lowering valve","/",""
"11","/","Platform leveling-down valve","/",""
"12","","Jib rotary switch 1","/",""
"13","","Jib rotary switch 2","/",""
"14","1020700540","Terminal resistance","1",""
"15","1021404015","Platform angle sensor","1",""
"16","1021404016","Load cell","1",""
"17","1020521022","Foot switch","1",""
