"No.","Material No.","Item and Spec","Qty","Remark"
"1","00771407101001020","Exhaust tailpipe","1",""
"2","1040004519","Bolt M8×25-8.8","16","GB/T5783-2000"
"3","1040301515","Washer 
  8-200HV","16","GB/T97.1-2002"
"4","00771907101001020","Exhaust tailpipe Ⅱ","1",""
"5","1040200503","Nut M8-8","16","GB/T889.1-2000"
"6","00771907101001010","Exhaust pipe I","1",""
"7","00771407121001050","Seal pad I","2",""
"8","00771407121001010","Muffler","1",""
"9","1040102216","Screw M10×65-10.9-DKL","4","GB/T70.1-2000"
"10","1040301502","Washer 10","4","GB/T93-1987"
"11","00771407111010000","Bracket","1",""
