"No.","Material No.","Item and Spec","Qty","Remark"
"1","1040004511","Bolt M12×30-8.8","4","GB/T5783-2000"
"2","1040300054","Washer 12","4","GB/T93-1987"
"3","1040302490","Washer 12-200HV","4","GB/T97.1-2002"
"4","007716052016000000","Oil tank","1",""
"5","1010601139","Return oil filter","1","RFMON185B 
D10A1.0/-V300"
"6","1140103362","Male stud connector","3","GE28LREDOMDCF"
"7","1140101737","Tube to swivel","1","EW28LOMDCF"
"8","1040301515","Washer 8-200HV","16","GB/T97.1-2002"
"9","1040301510","Washer 8","16","GB/T93-1987"
"10","1040004519","Bolt M8×25-8.8","2","GB/T5783-2000"
"11","1040004518","Bolt M8×20-8.8","14","GB/T5783-2000"
"12","1010500340","Tank air filter","1","BFP30G3W1.0"
"13","00771405201620000","Cover assembly","1",""
"14","00771405201601010","Rubber pad","1",""
"15","1019901354","Liquid level thermometer","1","FSA-176-1.0/T/10"
"16","1140111237","Male stud connector","1","GE08LREDOMDCF"
"17","1140105928","Male stud connector","1","GE22LR1/2EDOMDCF"
"18","1140101464","Male stud connector","2","GE15LREDOMDCF"
"19","1140101629","Thread plug","1","VSTI3/8EDCF"
"20","1149901683","Male stud connector","1","GE42LREDOMDCF"
"21","1140101462","Male stud connector","1","GE12LREDOMDCF"
"22","1140101992","Thread plug","1","VSTI1/2EDCF"
