"No.","Material No.","Item and Spec","Qty","Remark"
"1","1140101941","Male stud connector","2","GE10LR3/8EDOMDCF"
"2","1140101793","Tube to swivel","1","ET10LOMDCF"
"3","1140101484","Tube to swivel","1","ET15LOMDCF"
"4","1140101464","Male stud connector","2","GE15LREDOMDCF"
"5","1140101527","Male stud connector","4","GE16SREDOMDCF"
"6","1040302490","Washer12-200HV","4","GB/T97.1-2002"
"7","1040300054","Washer12","4","GB/T93-1987"
"8","1040004644","BoltM12×45-10.9","4","GB/T5783-2000"
"9","1140114650","Long male stud 
connector","1","GE15LREDOMDCF-L110"
"10","114990202","Long male stud 
connector","1","GE10LR3/8EDOMDCF-110"
"11","1149902020","Long male stud 
connector","1","GE15LREDOMDCF-L120"
"12","1140101478","Tube to swivel","1","EW15LOMDCF"
"13","1140101476","Tube to swivel","1","EW10LOMDCF"
"14","1149902021","Reducer union","1","GZR22/15LCF"
"15","1140101808","Tube to swivel","1","T22LCFX"
"16","1140101632","Tube to swivel","4","EW16SOMDCF"
"17","1140114649","Long male stud 
connector","2","GE16SREDOMDCF-L110"
"18","1140114648","Long male stud 
connector","2","GE16SREDOMDCF-L130"
"19","1140111237","Male stud connector","1","GE08LREDOMDCF"
"20","1011200183","Centre revolving joint","1","ZHZY47"
"21","1140101463","Male stud connector","1","GE12LR1/2EDOMDCF"
"22","1140101483","Tube to swivel","1","EL12LOMDCF"
