"No.","Material No.","Item and Spec","Qty","Remark"
"1","00772100300400000","First telescopic boom","",""
"2","00772100301081010","Pulley","2",""
"3","00772100301081020","Bearing","4",""
"4","00772100301071010","Pin","2",""
"5","1080000006","Oil cup M8×1","2","JB/T7940.1-1995"
"6","00772100301071020","Cover Tp8","2",""
"7","1040301515","Washer 8-200HV","2","GB/T97.1-2002"
"8","1040004590","Bolt M8×14-8.8","2","GB/T5783-2000"
"9","1040101492","Screw M10×25-8.8","14","GB/T70.1-2000"
"10","00771900301001170","Retracting boom pulley 
ⅡProtective plate T30","1",""
"11","00771900301401050","Adjustable gasket Tp2","4",""
"12","00771900301401060","Adjustable gasket Tp1","2",""
"13","00772100301451010","Slider","2",""
"14","00771100301301020","Hexagon nut","10",""
"15","00772100301431010","Slider","2",""
"16","00771900301401070","Adjustable gasket Tp1","6",""
"17","1040102761","Screw M10×20-8.8","4","GB/T70.1-2000"
"18","00771900301401020","Slider T20","2",""
"19","00772100301410000","Upper dust-proof brush","1",""
"20","00772100301411020","Brush","1",""
"21","00772100301421010","Brush board","1",""
"22","00772100301421020","Brush","1",""
"23","1040300771","Washer 6-200HV","23","GB/T97.1-2002"
"24","1040002555","Bolt M6×16-A2-70","17","GB/T5783-2000"
"25","00771900301201060","Block Ow20×3.5","5",""
"26","00772100301201070","Upper slider Ⅱ","1",""
"27","1040302480","Washer 8-200HV","2","GB/T96.1-2002"
"28","1040000135","Bolt M8×55-8.8","2","GB/T5783-2000"
"29","00771900301201020","Adjustable gasket Tp1.5","4",""
"30","00771900301201050","Adjustable gasket Tp1","2",""
"31","00772100301250000","Slider","2",""
"32","1040004508","Bolt M10×45-8.8","4","GB/T5783-2000"
"33","1040301502","Washer 10","5","GB/T93-1987"
"34","1040302489","Washer 10-200HV","31","GB/T97.1-2002"
