"No.","Material No.","Item and Spec","Qty","Remark"
"26","1040102738","Screw M8×55-8.8","5","GB/T70.1-2000"
"27","00771600700001120","Pipeline clamp T15","4",""
"28","1040200503","Nut M8-8","18","GB/T889.1-2000"
"29","00771600701000000","Rotary bracket","1",""
"30","00771600700800000","Dragging pipe bracket","1",""
"31","00771600700001080","Adjustable pad Tp2","2",""
"32","1040004604","Bolt M10×30-8.8","4","GB/T16674-2004"
"33","00771400700001010","Washer Tp2","4",""
"34","00772100700001060","Mounting plate Tp6","1",""
"35","1040102648","Screw M8×25-A2-70","6","GB/T70.2-2000"
"36","00771600700001040","Fixed plate","2",""
"37","00771600700001030","Slider T40","2",""
"38","1040301515","Washer 8-200HV","14","GB/T97.1-2002"
"39","1040103115","Screw M8×65-8.8","7","GB/T70.1-2000"
"40","00772100700001040","Mounting plate","1",""
"41","1040004509","Bolt M10×50-8.8","2","GB/T5783-2000"
