"No.","Material No.","Item and Spec","Qty","Remark"
"1","00771407101001020","Exhaust tailpipe","1",""
"2","00772107111001020","Exhaust tailpipe Ⅱ","1",""
"3","00772107111001040","Exhaust pipe Ⅱ","1",""
"4","00771407121001020","Exhaust pipe I","1",""
"5","00771407121001050","Seal pad I","2",""
"6","00771407121001010","Muffler","1",""
"7","00771407121001030","Bracket","1",""
"8","1040002434","Bolt M10×25-8.8","8","GB/T5783-2000"
"9","1040302489","Washer 10-200HV","8","GB/T97.1-2002"
"10","1040200503","Nut M8-8","4","GB/T889.1-2000"
"11","00771407121001060","Seal pad II","1",""
"12","1040301515","Washer 8-200HV","16","GB/T97.1-2002"
"13","1040004519","Bolt M8×25-8.8","16","GB/T5783-2000"
"14","1040200398","Nut M8-8","12","GB/T177.1-2000"
