"No.","Material No.","Item and Spec","Qty","Remark"
"1","00772100300200000","Base boom","1",""
"2","1040004499","Bolt M20×45-8.8","1","GB/T5783-2000"
"3","00771400600001060","Stop pin","1",""
"4","00771900310001040","Lifting cylinder pin","1",""
"5","1040102646","Screw","8",""
"6","00772100300001080","Side cover Tp6","2",""
"7","00772100301201150","Lubrication-free bearing O98×4","2",""
"8","00772100301201040","Sealing plate Tp2","1",""
"9","1040300735","Washer 6-200HV","6","GB/T96.1-2002"
"10","1040002738","Bolt M6×12-A2-70","14","GB/T5783-2000"
"11","1040201092","Nut M24-10","2","GB/T6170-2000"
"12","1040004519","Bolt M8×25-8.8","5","GB/T5783-2000"
"13","1040301515","Washer 8-200HV","6","GB/T97.1-2002"
"14","00772100301001140","Snap-gauge Tp8","1",""
"15","00772100301060000","Swing support","1",""
"16","1040000246","Bolt M12×110-8.8","2","GB/T5782-2000"
"17","1040302490","Washer 12-200HV","12","GB/T97.1-2002"
"18","1040501059","Open pin 6×60","3","GB/T91-2000"
"19","00772100301001070","Pin","2",""
"20","00772100301050000","First extending wire rope support","1",""
"21","00772100301001090","Pin","1",""
"22","00772100301001060","Rope head Φ70","2",""
"23","00772100301001080","Anti-rotating plate Tp3","1",""
"24","00772100301001010","First extending wire rope","2",""
"25","00772100301010000","Telescopic cylinder","1",""
"26","1040004570","Bolt M16×30-8.8","2","GB/T5783-2000"
"27","00773400400001250","Stop pin φ16×105*","2",""
"28","00772100301001100","Cylinder pin","2",""
"29","1040000227","Bolt M12×140-8.8","1","GB/T5782-2000"
"30","00771900301001240","Roller pulley","4",""
"31","1040200504","Nut M10-8","2","GB/T889.1-2000"
"32","1040200507","Nut M12-8","1","GB/T889.1-2000"
"33","00772100301001240","Brushing φ17*","4",""
"34","00771900301001250","Side plate Tp5","2",""
