"№ п/п","Код мат-ла","Наименование и спецификация","Кол-во штук","Примечание"
"21","1040302489","Шайба 10-200HV","2","GB/T97.1-2002"
"22","00771407100401040","Топливная труба III O10×3","1","Примечание"
"23","00771407100401030","Топливная труба II O12×4","1",""
"24","1990202279","Хомут червяка и червячного колеса SX9/W4/12-20 12-20","12",""
"25","1040300771","Шайба 6-200HV","10","GB/T97.1-2002"
"26","00771407100401100","Изогнутая пластина IV Tp8","1",""
"27","00771407100401050","Топливная труба IV O10×3","1",""
"28","1040002436","Болт M12×25-8.8","1","GB/T5783-2000"
"29","1040201896","Гайка M6-8","5","GB/T889.1-2000"
"30","00771407100401070","Топливная труба Ⅵ O12×4","1",""
"31","1040302490","Шайба 12-200HV","1",""
"32","1040001631","Болт M6×20-8.8","5","GB/T5783-2000"
"33","1990200692","Клейкая лента, покрытая слоем пластмассы 20-φ20-φ20-M8","5",""
