"Item","Part Number","Description","Qty.","Remark"
"1","00002452","Bolt  GB/T 5783  M12 × 45","9",""
"2","00000815","Spring Washer  GB/T 93  12","9",""
"3","00002601","Flat Washer  GB/T 96.1  12","9",""
"4","00001055","Bolt  GB/T 5783  M12 × 40","4",""
"5","00000814","Flat Washer  GB/T 97.1  12","8",""
"6","50007610","Engine Module","1",""
"7","00001249","Nut  GB/T 6182  M12","4",""
"8","50007634","Tank Module","1",""
"9","00001057","Bolt  GB/T 5783  M16 × 45","4",""
"10","00003071","Flat Washer  GB/T 96.1  16","4",""
"11","00001257","Nut  GB/T 6182  M16","4",""
"12","00000997","Flat Washer  GB/T 97.1  16","4",""
