"Item","Part Number","Description","Qty.","Remark"
"1","00000818","Bolt  GB/T 5783  M6 × 16","6",""
"2","00000621","Spring Washer  GB/T 93  6","9","BA22CRT 
BA20CRT"
"","00000621","Spring Washer  GB/T 93  6","8","BA18CRT 
BA16CRT"
"3","00000620","Flat Washer  GB/T 97.1  6","9","BA22CRT 
BA20CRT"
"","00000620","Flat Washer  GB/T 97.1  6","8","BA18CRT 
BA16CRT"
"4","00000604","Screw  GB/T 70.1  M4×16","8",""
"5","00000779","Spring Washer  GB/T 93  4","8",""
"6","00000778","Flat Washer  GB/T 97.1  4","8",""
"7","00000876","Screw  GB/T 70  M6 × 16","3","BA22CRT 
BA20CRT"
"","00000876","Screw  GB/T 70  M6 × 16","2","BA18CRT 
BA16CRT"
"8","92100579","Clamp","3","BA22CRT 
BA20CRT"
"","92100579","Clamp","2","BA18CRT 
BA16CRT"
"9","50005469","Plate, Bracket","1",""
"10","00000748","Switch, Limit","2",""
"11","50008820","Plate, Bracket","1",""
