"Item","Part Number","Description","Qty.","Remark"
"1","00000678","Bolt  GB/T 5783  M10 × 25","1",""
"2","00000679","Spring Washer  GB/T 93  10","3",""
"3","00000615","Flat Washer  GB/T 97.1  10","3",""
"4","00000219","8902-10060 Pin, Lock","1",""
"5","00010244","895-35193 Pin, Pivot","1",""
"6","50007717","Shim","4",""
"7","50007716","Shim","4",""
"8","00000416","8813-354535 Sleeve Bearing","4",""
"9","00010232","897-35330 Pin, Pivot","1",""
"10","00000683","Bolt  GB/T 5783  M10 × 30","2",""
"11","00000220","8902-10080 Pin, Lock","2",""
"12","50007692","Linker, Lower","2",""
"13","","JIB Lifting Cylinder Assembly (Refer to 
5-7)","1",""
"14","50007701","Linker, Upper","1",""
