"Item","Part No.","Description","Qty."
"1","00004274","Hydraulic power unit (refer to 105.1)","1"
"2","10000462","Nut","1"
"3","00001318","Straight fitting","3"
"4","00002392","Screw  GB/T 70.1  M5×40","2"
"5","00000606","Washer  GB/T 93  5","12"
"6","00000605","Washer  GB/T 97.1  5","12"
"7","10001552","Sleeve pipe","2"
"8","00002362B","Ground control assembly (refer to 107.1)","1"
"9","00002200","Battery","2"
"10","10001997","Towline","1"
"11","00000828","Screw  GB/T 70.3  M6×10","4"
"12","10002024","Towline bracket","1"
"13","00002865","Bolt  QC/T 340  M6×14","2"
"14","","Motor controller assembly (refer to 106.1)","1"
"15","00001246","Screw  GB/T 70.1  M5×16","4"
"16","00002574","Nut  GB/T 6183.1  M6","12"
"17","00001166","Screw  GB/T 818  M6×20 - H","12"
"18","10011884","Latch","2"
"19","10007905","Battery tray weldment","1"
"","10007966","Battery tray weldment (Rear fitted changer plug)","1"
"20","00002319","Screw  GB/T 818  M5×10 - H","2"
"21","00002573","Nut  GB/T 6183.1  M5","8"
"22","00001250","Screw  GB/T 818  M5×16 - H","8"
"23","10001541","Glide track","2"
"24","10000537","Half-round batten","2"
"25","00000655","Power switch","1"
"26","00005060","Charger","1"
"27","00002391","Screw  GB/T 818  M5×8 - H","4"
"28","00000847","Screw  GB/T 70.3  M10×30","2"
