"Item","Part No.","Description","Qty."
"1","09340026","Decal, Symbols-Refer the operator to the instructions for 
use","2"
"2","09440090","Decal, Symbols-Tip-over hazard, tilt-alarm","1"
"3","09340028","Decal, Instructions-Directional arrows","1"
"4","09440091","Decal, Symbols-General safety rules","1"
"5","09440014","Decal, Label-Capacity 230kg","1"
"6","09310001","Decal, Instructions-Forklift pockets","2"
"7","09310092","Decal, Instructions-Maximum wheel load 570kg","4"
"8","09310096","Decal, Symbols-Emergency lower","1"
"9","09310100","Decal, Symbols-Battery charging instructions","1"
"10","09310078","Decal, Symbols-Main power switch operation","1"
"11","09430009","Decal, Symbols-Keep away from moving parts","2"
"12","09430008","Decal, Symbols-Safety arm","2"
"13","09440086","Decal, Symbols-Max. manual force 400N (Indoor)","2"
"14","09640009","Decal, Cosmetic-JCPT0708DCS","2"
"15","09440089","Decal, Label-Lanyard anchorage point","3"
"16","09540001","Decal, Label-CE","1"
"17","09310003","Decal, Instructions-Tie down point","4"
"18","09310002","Decal, Instructions-Lift point","4"
"19","09410048","Decal, Symbols-Explosion/burn hazard","1"
"20","09410050","Decal, Symbols-Injection hazard","1"
"21","09410049","Decal, Symbols-Electrocution hazard","1"
"22","09310098","Decal, Symbols-Platform power instructions","1"
