"Item","Part No.","Description","Qty."
"1","10002960","Mounting plate","1"
"2","00005227","Motor controller","1"
"3","00000605","Washer  GB/T 97.1  5","7"
"4","00000606","Washer  GB/T 93  5","7"
"5","00000817","Screw  GB/T 70.1  M5×20","4"
"6","00003069","200A  Fuse assembly","1"
"--","00000759","200A  Fuse","1"
"--","00000757","Fuse seat","1"
"7","00002313","Screw  GB/T 818  M5×14 - H","2"
"8","00002391","Screw  GB/T 818  M5×8 - H","3"
"9","00002028","DC Contactor","1"
"10","00002561","Relay","1"
