"NO.","Material No.","Item and Spec","Units","Remark"
"19","1029907626","Vehicle-mounted battery charger","1",""
"20","1040100619","Screw M5X10","2","GB/T818-2000"
"21","1040100617","Screw M4×10-8.8","2","GB/T818-2000"
"22","1040300044","Washer 4","6","GB/T93-1987"
"23","1040301697","Washer 4-160HV","6","GB/T97.1-2002"
"24","1040102168","Screw M4×10","4","GB/T70-1985"
"25","00775602801601010","Coil III","1",""
"26","1040300060","Washer 5","2","GB/T93-1987"
"27","1040102341","Screw M5×12-8.8","2","GB/T70.1-2000"
"28","1020521277","Main power switch","1",""
"29","1029804041","Screw M4×25-4.8","2","GB/T70.1-2000"
"30","1020104088","Ground control assembly","1",""
"31","1020521389","Key switch","1",""
"32","1020304979","Breaker","1",""
"33","1020502039","Emergency stop button","1",""
"34","1040101212","Screw M6×20-8.8","8","GB/T818-2000"
"35","1101000131","Panel lock","2",""
"36","1040200506","Nut","8","GB/T889.1-2000"
