"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775302801600000","Left pothole plate. 
(ZS0607HD/HA)","1",""
"","00775302811400000","Left pothole plate. 
(ZS0607DC/AC/ACW)","1",""
"2","1040500054","Split pin 4×40","8","GB/T91-2000"
"3","1040300052","Washer 16","6","GB/T97.1-2002"
"4","1040501520","Pin B16×50","4","GB/T882-2000"
"5","1040500111","Pin B16×90","2","GB/T882-1986"
"6","00775602800001130","Crank gasket","2",""
"7","1040300066","Washer 8","8","GB/T97.1-2002"
"8","1040300063","Washer 8","8","GB/T93-1987"
"9","1040201078","Nut M8","2","GB/T6170-2000"
"10","00775302800001010","Crank linkage 
(ZS0607HD/HA)","2",""
"","00775302810001010","Crank linkage 
(ZS0607DC/AC/ACW)","2",""
"11","00775602801400000","Crank","2",""
"12","1040500383","Pin B8×50","2","GB/T882-1986"
"13","1040500212","Split pin 3.2×20","2","GB/T91-2000"
"14","00775602800001060","Crank trolley","2",""
"15","00775602800001070","Crank Pin","2",""
"16","1040300094","Washer 8","2","GB/T96.1-2002"
"17","1110100353","Gas spring","2",""
"18","1040000288","Nut M8×25","10","GB/T5783-2000"
"19","00775302802000000","Conduction band","1",""
"20","1040200503","Nut M8-8","10","GB/T889.1-2000"
