"NO.","Material No.","Item and Spec","Units","Remark"
"17","1040100378","Screw M5×20-8.8","4","GB/T70.1-2000"
"18","1040300067","Washer 10","2","GB/T93-1987"
"19","1040004607","Bolt 3/8-24UNF-1-10.","2","ASME B18.2.1-2010"
"20","1040200503","Nut M8-8","8","GB/T889.1-2000"
"21","1010001904","Gear pump   
(ZS1414/ZS1212/ZS1012/ 
ZS0812HD(HA/DC) Series)","1","5cc-PGP511A0050 
AA1H2ND4D3B1B1"
"","1010001885","Hydraulic pump   
(ZS0812DC Series)","1","4cc-PGP505A0040 
AA1H2ND4D4B1B1"
"22","1011300151","Tank","1",""
"23","1040101606","Screw M8×12-8.8","4","GB/T70.3-2000"
"24","1010305936","Control valve 
(ZS1414/1212/1012HD 
ZS1414/1212/1012/0812HA)","1",""
"","1010306182","Control valve 
(ZS1414/1212/1012HD-Li 
ZS1414/1212/1012/0812HA-Li)","1",""
"","1010306187","Control valve 
(ZS1414/1212/1012/0812DC)","1",""
"","1010306289","Control valve 
(ZS1414/1212/1012/0812DC-Li)","1",""
"25","1040000267","Bolt M8×20-8.","6","GB/T5783-2000"
"26","1040300066","Washer 8-200HV","8","GB/T97.1-2002"
"27","00775605200801010","Valve support 
(仅 ZS1414/1212/1012HD Series)","1",""
"28","1040300063","Washer 8","4","GB/T93-1987"
"29","1040004517","Bolt M8×16-8.8","4","GB/T5783-2000"
"30","1029804041","Screw M4×25-4.8","2","GB/T70.1-2000"
"31","1020104088","Ground control assembly","1",""
"32","1020521389","Key switch","1",""
"33","1020304979","Breaker","1",""
"34","1020502039","Emergency stop button","1",""
