"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1040301510","Washer","A","2","GB/T93-1987"
"2","1040004603","Bolt","A","2","GB/T5782-2000"
"3","1040301515","Washer","A","2","GB/T97.1-2002"
"4","1140101475","Right-angle combination coupling","A","1","EW08LOMDCF"
"5","1140101477","Right-angle combination coupling","A","1","EW12LOMDCF"
"6","1140101462","Male stud connector","A","1","GE12LREDOMDCF"
"7","1010309335","Extending balance valve","A","1","ST8203-A000"
"8","1140108469","Connector","A","1","GE08LR3/8EDOMD
CF"
