"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","02554000810200000","Turntable weldment","A","1",""
"1","1040004499","Bolt","A","3","GB/T5783-2000"
"15","00772700800001100","Stop pin","B","3",""
"17","00772500800001130","Lubrication-free bearing","A","8",""
"18","00772700800001120","Bush","A","2",""
"19","02554000800800000","Lifting cylinder","A","2",""
"20","00772500800001030","Pin II","B","2",""
"33","1040201875","Nut","B","4","GB/T889.1-2000"
"36","1040302489","Washer","B","15","GB/T97.1-2002"
"45","1040004593","Bolt","A","2","GB/T5782-2000"
"46","00771400800001100","Block","B","1",""
"47","00771400800001111","Adjustable spacer","A","2",""
"48","00772500800001191","Tray spacer I","A","2",""
"49","00772500800001201","Tray spacer II","A","2",""
