"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"6","02554000300800000","Fourth-section boom weldment","C","1",""
"98","1040302489","Washer","B","36","GB/T97.1-2002"
"107","1040002434","Bolt","A","10","GB/T5783-2016"
"109","00772700301601070","Adjustable spacer","B","12",""
"211","00772700301201040","Adjustable pad","B","8",""
"212","00772700301201050","Adjustable pad","B","4",""
"213","1040002435","Bolt","A","12","GB/T5783-2016"
"214","1040201882","Nut","A","6","GB/T6172-2000"
"215","00772500301820000","Side dust-proof brush","A","2",""
"216","1040300771","Washer","A","17","GB/T97.1-2002"
"217","1040002555","Bolt","A","11","GB/T5783-2000"
"218","1040000135","Bolt","A","2","GB/T5783-2000"
"219","1040005844","Bolt","A","6","GB/T5783-2000"
"220","1040302480","Washer","B","2","GB/T96.1-2002"
"221","00772100301201120","Bolt","C","6",""
"222","00772500301801040","Upper slider II","B","1",""
"223","1040006471","Bolt","A","2","GB/T5782-2000"
"224","1040004535","Bolt","A","2","GB/T5782-2000"
"225","00772700301810000","Slider","A","2",""
"226","02554000301840000","Slider","A","1",""
"227","00772500301810000","Upper dust-proof brush","A","1",""
"228","00772500301801030","Upper slider I","B","1",""
"229","02554000301830000","Slider","A","1",""
