"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"52","1040103375","Screw","A","10","GB/T70.2-2000"
"53","1040302489","Washer","B","43","GB/T97.1-2002"
"54","1040301502","Washer","A","23","GB/T93-1987"
"55","1040002434","Bolt","A","19","GB/T5783-2016"
"56","02554000700201030","Chain bracket","A","5",""
"57","02554000700201040","Support plate","A","1",""
"58","02554000700230000","Chain mounting bracket","A","1",""
"59","1040200504","Nut","A","20","GB/T889.1-2000"
"60","1040002435","Bolt","A","4","GB/T5783-2016"
"61","1040302512","Washer","A","4","GB/T96.1-2002"
"62","00772700700401291","Adjustable spacer","A","2",""
"63","1040301515","Washer","A","8","GB/T97.1-2002"
"64","1040200503","Nut","A","8","GB/T889.1-2000"
"65","1040103116","Screw","A","6","GB/T70.1-2000"
"66","00772700700401091","Upper slider","A","1",""
"67","02554000700201020","Slider mounting plate","A","1",""
"68","00772700700401071","Lower slider","A","1",""
"69","02554000700201010","Slider mounting plate","A","1",""
"70","1040102737","Screw","A","2","GB/T70.1-2000"
"71","1040004581","Bolt","A","6","GB/T5783-2000"
"72","00772700700201160","Block","C","1",""
"73","00772500700201022","Central clamp","A","3",""
"74","00772500700201012","Upper clamp","A","3",""
"75","00772700700201110","Pipeline pressing plate","A","3",""
"76","00772500700201030","Lower clamp","C","3",""
"77","1040101995","Screw","A","4","GB/T70.1-2000"
"78","02554000700210000","Jib chain","A","1",""
"79","02554000700220000","Tube","A","1",""
