"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","00772100200001200","Sensor protective hood","A","2",""
"2","1040301515","Washer","A","18","GB/T97.1-2002"
"3","1040103110","Screw","A","8","GB/T70.1-2000"
"82","00773402800001350","Bearing","A","2",""
"83","02554000200001150","Bush","A","1",""
"84","00773400200001010","Bearing","C","8",""
"85","02554000200800099","Countersunk bolt model","A","1","GB/T70.3-2008"
"86","00772700200001090","Bearing","A","2",""
"87","00772700200001140","Bush II","A","1",""
"88","02554000203000000","Platform leveling cylinder","B","1",""
"89","00772700201800000","Linkage II","B","1",""
"90","00772700201600000","Linkage I","A","1",""
"91","1010201694","Rotary actuator","A","1",""
"92","00772700200001010","Pin I","B","2",""
"93","00772700200001020","Pin II","B","1",""
"94","00772700200001030","Pin III","B","1",""
"95","00772700200001101","Snap gauge I","A","2",""
"96","1040103076","Screw","A","4","GB/T70.3-2008"
"97","00773400300001200","Stop pin","F","3",""
"98","1040002434","Bolt","A","1","GB/T5783-2016"
"99","1040004565","Bolt","A","2","GB/T5783-2016"
"100","02554000203200000","Pin welds","A","1",""
