"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"56","1040300771","Washer","A","14","GB/T97.1-2002"
"57","1040002555","Bolt","A","14","GB/T5783-2000"
"58","02554000201281010","Pressing plate","A","2",""
"59","02554000201281020","Hairbrush","A","2",""
"60","1040004032","Bolt","A","8","GB/T5783-2000"
"61","02554000201481010","Pressing plate","A","1",""
"62","02554000201481020","Hairbrush","A","1",""
"63","02554000201501010","Pressing plate","A","1",""
"64","02554000201501020","Hairbrush","A","1",""
"65","1040004033","Bolt","A","27","GB/T5783-2000"
"66","1040302489","Washer","B","47","GB/T97.1-2002"
"67","02554000201461020","Hairbrush","A","2",""
"68","02554000201461010","Pressing plate","A","2",""
"69","02554000201401110","Adjustable spacer","A","2",""
"70","00773400300001140","Adjustable spacer V","B","14",""
"71","00771100301320000","Slider","B","6",""
"72","00771100301310000","Slider","B","2",""
"73","00773400300001131","Adjustable spacer(2mm)","A","6",""
"74","00771100301601061","Adjustable spacer","A","2",""
"75","00771100301601071","Adjustable spacer","A","4",""
"76","00771100301490000","Slider","B","2",""
"77","02551500301401100","Adjustable spacer(5mm)","A","1",""
"78","02551500301410000","Slider","A","3",""
"79","02554000201440000","Slider","A","2",""
"80","02554000201401120","Adjustable spacer(2mm)","A","2",""
"81","02554000200400001","Second boom section weldment","A","1",""
"161","02554000201401130","Stroke switch trigger strip I","A","1",""
