"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1029900403","Socket outlet","A","1","192900-0425"
"2","1022270089","ITT plug","A","2","192900-0055"
"3","1020706505","24 core plug","A","2","132015-0075"
"4","1022202106","Bush","A","2","282080-1"
"5","1020404399","Work light","B","1","JD90A-H03Y012"
"6","1021404070","GEFRAN pressure sensor","A","3","KS-E-E-Z-B04C-M-
V-54 8"
"7","1020706847","48P male end sheath","A","1",""
"8","1029901599","RNB","A","1","GQ-OT4-10"
"9","1029901598","RNB","A","1","GQ-OT4-8"
"10","1029907518","Conductive slip ring","A","1","XC025-10-EN"
"11","1020700957","Socket outlet","A","1",""
"12","1020700959","Plug bush","A","1",""
"13","1020703145","High current 4 socket","A","1",""
"14","1020700440","Bush","B","1",""
"15","1020522288","Limit switch","A","1","ZCP21+ZCE01+ZC
Y25+ZC PEP16"
"16","1020700949","Plug bush(Two plugs)","A","3","DT04-2P"
"17","1020700951","Plug bush(Two plugs)","A","11","DT06-2S"
"18","1021405443","Tilting angle sensor","A","1","TLP300.2.O.065.6.2.
R .0.N1"
"19","1020304982","Buzzer","A","1","GFB-202-G"
"20","1029901587","RNB","A","2","GQ-OT1.5-6"
"21","025540062K0510010","Turntable cables","A","1",""
