"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","00772100200001200","Sensor protective hood","A","2",""
"2","1040301515","Washer","A","18","GB/T97.1-2002"
"3","1040103110","Screw","A","8","GB/T70.1-2000"
"4","1040003324","Bolt","A","4","GB/T5783-2000"
"5","02554000200001110","Copper gasket IV","A","2",""
"6","00772700200001210","Copper backing","A","2",""
"7","02554000200001100","Copper gasket II","A","2",""
"8","02554000200001090","Copper gasket II","A","2",""
"9","02554000200001070","Bush II","A","1",""
"10","00773400300001070","Bearing","A","6",""
"11","00773400410001230","Stop pin","C","2",""
"12","02554000200001050","Pin VI","A","1",""
"13","02554000200001040","Pin III","A","1",""
"14","00773400400001250","Stop pin","E","2",""
"15","02554000200001020","Pin II","A","2",""
"16","00771000300001130","Lubrication-free bearing","A","2",""
"17","00771400610001060","Lubrication-free bearing","A","4",""
"18","00771400610001050","Lubrication-free bearing","A","2",""
"19","00772700200001200","Protective hood III","A","1",""
"20","00772700209901010","Junction box","A","1",""
"21","02554000202600000","Lifting cylinder","B","1",""
"22","02554000202200000","Linkage III","B","1",""
"23","02554000202000001","Link IV","A","1",""
"24","02554000201000001","Support","B","1",""
"25","1040004499","Bolt","A","1","GB/T5783-2000"
"26","00773400400001170","Stop pin","E","1",""
"27","02554000200001010","Pin","A","1",""
"160","02554000200001080","Copper backing","A","2",""
"162","02554000200001060","Bush","A","1",""
