"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","00771407030201152","DANGER-No unauthorized operation","A","1",""
"4","00773407000201432","Lifting point","A","6",""
"5","02555407010201152","Hood safety label","B","2",""
"6","00773407000201242","No hoisting","A","2",""
"8","02555407010231062","Remove refering to instruction","A","2",""
"9","00773407000231582","Tie down point and lifting point label","A","2",""
"10","00773407000201272","No water washing","A","2",""
"12","02554007070231042","Transportation and lifting instruction","A","1",""
"13","02555407010201132","Crushing and electric shock hazard","C","2",""
"18","00772707000201022","Chassis load safety-17500kg","A","4",""
"21","02551507030201120","Yellow arrow","A","3",""
"22","02551507030201110","Blue arrow","A","3",""
"29","00773407000231612","Combination label of bundling and
lifting prohibition Ⅱ","A","4",""
"58","02554007070231022","ZT72J-Hood model identification","A","1",""
