"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1140212610","Hose assembly","A","1",""
"2","1140221556","Hose assembly","A","1",""
"3","1140228082","Hose assembly","A","1",""
"4","1140229052","Hose assembly","A","1",""
"5","1140227123","Hose assembly","A","1",""
"6","1140298809","Hose assembly","A","1",""
"7","1140231570","Hose assembly","A","1",""
"8","1140232596(2)","Hose assembly","A","1",""
"9","1140224867(2)","Hose assembly","A","2",""
"10","1140298807","Hose assembly","A","1",""
"11","1140208797(2)","Hose assembly","A","1",""
"12","1140298808","Hose assembly","A","1",""
"13","1140298810","Hose assembly","A","1",""
"14","1140245595","Hose assembly","A","1",""
"15","1140298806","Hose assembly","A","1",""
"16","1140298804","Hose assembly","A","1",""
"17","1140207617(2)","Hose assembly","A","1",""
"18","1140298805","Hose assembly","A","1",""
"19","1140298803","Hose assembly","A","1",""
"20","02554005200231040( 2)","Jib steel pipe II","A","1",""
"21","02554005200231030( 2)","Jib steel pipe I","A","1",""
"22","1140212611(2)","Hose assembly","A","2",""
"23","1140245614(2)","Hose assembly","A","2",""
"24","1140103412(2)","Tube to tube","A","4",""
"25","1140101438(2)","Straight joint","A","2",""
"26","1140105914(2)","Tube to tube","A","2",""
"27","1140101426(2)","Butt joint","A","1",""
"28","1140101425(2)","Butt joint","A","1",""
