"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"2","02554000300600000","Third-section boom attachment","C","1",""
"16","1040302489","Washer","B","50","GB/T97.1-2002"
"96","02554000302201030","No.2 extending wire rope","A","3",""
"174","1040500394","Open pin","A","10","GB/T91-2000"
"175","00772500302201200","Drivepipe II","A","3",""
"176","00772700302201300","Wear spacer","A","6",""
"177","02554000302201100","Second extension pulley guard II","A","1",""
"178","02554000302201070","Pulley hood","A","2",""
"179","00772700302201232","Lubrication-free bearing","B","3",""
"180","02554000302240000","No.2 extending pulley","B","3",""
"181","1040004511","Bolt","A","1","GB/T5783-2000"
"182","00772500301670000","Extending pulley pin","B","1",""
"183","1040302490","Washer","B","1","GB/T97.1-2002"
