"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"8","00772702800001170","Lubrication-free bearing II","A","32",""
"9","00772702800001181","Bush I","A","8",""
"10","00772702800001060","Pin V","B","8",""
"11","1040002446","Bolt","A","16","GB/T5783-2000"
"12","00773400400001250","Stop pin","E","16",""
"13","00772702800001040","Pin VI","B","8",""
"14","1040005831","Bolt","A","32","GB/T5789-1986"
"33","02552502800001041","Sensor mounting seat","A","4",""
"34","1040004033","Bolt","A","12","GB/T5783-2000"
"35","1040302489","Washer","B","16","GB/T97.1-2002"
"36","1040302529","Washer","A","8","GB/T96.1-2002"
"37","1040004509","Bolt","A","4","GB/T5783-2000"
"38","1029904911","Spring washer","A","8","GB93-304"
"39","1040001122","Bolt","A","8","GB/T5783-2000"
"40","02554002800001080","Mounting plate","B","4",""
"41","02554002800001032","Clapboard","A","4",""
"42","1040104093","Screw","A","12","GB/T70.3-2000"
"43","1040009054","Bolt","A","12","GB/T5782-2000"
"44","1040301511","Washer","A","12","GB/T97.1-2002"
"45","02554002801200001","Pin weldment","A","4",""
"46","02554002801600000","Ladder stand","A","2",""
"47","02554002800001061","Positon rod","B","4",""
"48","02554002801400000","Outrigger telescopic cylinder","A","4",""
"49","00772702800001191","Bush II","A","4",""
"50","02554002801800000","Test stop plate weldment","A","4",""
"51","02554002800001012","Snap gauge","A","4",""
"52","1040103120","Screw","A","4","GB/T70.1-2000"
"53","00772702800001160","Seal plate II","A","4",""
"54","00772702800001250","Nylon block","A","2",""
"55","02554002800001050","Lubrication-free bearing","A","8",""
"56","02554002800600000","Outrigger II","B","2",""
"57","02554002800400000","Outrigger I","B","2",""
"58","02554002800001070","Spacer","A","4",""
"59","1040301502","Washer","A","4","GB/T93-1987"
"60","1040200113","Nut","A","4",""
