"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775202801000000","Ladder","1",""
"2","1040000108","Bolt  M12×30-8.8","4","GB/T5783-2000"
"3","1040300054","Washer 12","4","GB/T93-1987"
"4","1040300526","Washer 12","4","GB/T97.1-2002"
"5","00770502200001092","Left motor","1",""
"6","1040300061","Washer 10-200 HV","24","GB/T97.1-2002"
"7","1040300067","Washer 10","24","GB/T93-1987"
"8","1040100111","Screw M10×35-8.8","24","GB/T70.1-2000"
"9","00775202801800000","Motor seat","2",""
"10","00770502200001091","Right  motor","1",""
"11","1030800683","Tire","2",""
"12","1040300247","Washer 16-200 HV","2","GB/T96.1-2002"
"13","1040200742","Nut M16×1.5-10","2","GB/T6183.2-2000"
"14","00775202800001080","Cover","2",""
"15","1040300044","Washer 4","6","GB/T93-1987"
"16","1040100618","Screw M4×16-8.8","6","GB/T818-2000"
