"NO.","Material No.","Item and Spec","Units","Remark"
"1","1054400310","Composite bush 44×38×30","36",""
"2","00775700300400000","Internal scissor arm I","1",""
"3","00775700300200000","External  scissor arm I","1",""
"4","00775700301000000","Internal scissor arm II","1",""
"5","00775700300600000","External  scissor arm II","4",""
"6","00775700301200000","Internal scissor arm III","1",""
"7","00775700301400000","Internal scissor arm IV","1",""
"8","00775700301600000","Internal scissor arm V","1",""
"9","00775700301800000","Internal scissor arm VI","1",""
"10","00775700302000000","External  scissor arm VI","1",""
"11","1054400309","Composite bush 44×38×50","4",""
"12","00775700302200000","External  scissor arm VII","1",""
"13","00775700300800000","External  scissor arm III","3",""
"14","1040200504","Nut M10-8","20","GB/T889.1-2000"
"15","1040000025","Bolt  M10×80-8.8","20","GB/T5782-2000"
"16","00775600300001020","Axle  II","8",""
"17","1054400311","Composite bush 44×38×20","16",""
"18","00775600300001120","Spacer, bearing","8",""
"19","00775600300001090","Gasket","17",""
"20","1040300984","Retaining  ring 38","20","GB/T894.1-1986"
"21","00775700300001010","End pipe  trunking I","3",""
"22","00775700300001030","Axle  I","12",""
"23","1040000689","Bolt  M8×35-8.8","4","GB/T5782-2000"
"24","00775600000001050","Articulated  pin","4",""
"25","1040200503","Nut M8-8","4","GB/T889.1-2000"
"26","00775700300001030","Axle  IV","4",""
