"NO.","Material No.","Item and Spec","Units","Remark"
"1","1054400310","Composite bush 44×38×30","22",""
"2","00775600300400000","Internal scissor arm I","1",""
"3","00775600300200000","External  scissor arm I","1",""
"4","00775600301000000","Internal scissor arm II","1",""
"5","00775600300600000","External  scissor arm II","3",""
"6","00775600301200000","Internal scissor arm III","1",""
"7","00775600301400000","Internal scissor arm IV","1",""
"8","00775500300200000","Internal scissor arm V","1",""
"9","00775600302400000","External  scissor arm VI","1",""
"10","1054400309","Composite bush 44×38×50","4",""
"11","00775600300800000","External  scissor arm III","3",""
"12","1040200504","Nut M10-8","16","GB/T889.1-2000"
"13","1040000025","Bolt  M10×80-8.8","16","GB/T5782-2000"
"14","00775600300001020","Axle  II","8",""
"15","1054400311","Composite bush 44×38×20","16",""
"16","00775600300001120","Spacer, bearing","8",""
"17","00775600300001090","Gasket","14",""
"18","1040300984","Retaining  ring 38","16","GB/T894.1-1986"
"19","00775600300001070","End pipe  trunking I","3",""
"20","00775600300001010","Axle  I","9",""
"21","1040000689","Bolt  M8×35-8.8","4","GB/T5782-2000"
"22","00775600000001050","Articulated  pin","4",""
"23","1040200503","Nut M8-8","4","GB/T889.1-2000"
"24","00775600300001040","Axle  IV","4",""
