"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775400100200000","Lower components","1",""
"2","1040100620","Screw M6×16","2","GB/T818-2000"
"3","00775600100001030","Line  card","2",""
"4","1040200506","Nut M6-8","14","GB/T889.1-2000"
"5","1040300066","Bolt  M8×60","18","GB/T5783-2000"
"6","1040302262","Washer 8","34","GB/T97.1-2002"
"7","1040200503","Nut M8-8","16","GB/T889.1-2000"
"8","00775400101600000","Cranked link","2",""
"9","00775400100800000","Guard rails II","1",""
"10","1040200867","Nut M5","6","GB/T889.1-2000"
"11","00775606300801010","Power mounting plate","1",""
"12","1040102341","Screw M5×12-8.8","6","GB/T70.1-2000"
"13","00775606600400000","Platform AC  assembly","1",""
"14","1100400025","D pin 6.3×55","2",""
"15","00775400102400000","Guard rails mounting base II","1",""
"16","00775400102200000","Guard rails III","1",""
"17","00775400100400000","Guard rails I","1",""
"18","00775600101800000","Platform gate","1",""
"19","1101000163","Spring hinge","2",""
"20","1040300051","Washer 6","24","GB/T97.1-2002"
"21","1040001185","Bolt  M6×55-8.8","12","GB/T5783-2000"
"22","00775400102000000","Guard rails mounting base I","1",""
"23","00775600102200000","Mounting  pulley  assembly","2",""
"24","00775600100001020","Gasket I","2",""
"25","00775600102400000","Platform pin mounting base","2",""
"26","1040102718","Screw M8×50","8","GB/T70.1-2000"
