"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040100421","Screw M8×20-8.8","4","GB/T70.3-2000"
"2","00775302810210000","Hydraulic  Tray box","1",""
"3","1010306187","Control valve  (ZS0607DC)","1",""
"","1010306289","Control valve  (ZS0607DC-Li)","1",""
"4","1010001885","Hydraulic  pump","1",""
"5","1040300067","Washer 10","2","GB/T93-1987"
"6","1040102722","Screw 3/8-24UNF-1","2",""
"7","1020005153","Hydraulic  pump drive motor","1",""
"8","1040100378","Screw M5×20-8.8","1","GB/T70.1-2000"
"9","1040200867","Nut M5","1","GB/T889.1-2000"
"10","1020005175","Motor driver","1",""
"11","1040300062","Washer 6","4","GB/T93-1987"
"12","1040300051","Washer 6","4","GB/T97.1-2002"
"13","1040100055","Screw M6×20-8.8","4","GB/T70.1-2000"
"14","00775306340401010","Driver support","1",""
"15","1011300149","Tank","1",""
"16","1040004508","Screw M10×45-8.8","2","GB/T5783-2000"
"17","1040200504","Nut M10","2","GB/T889.1-2000"
"18","1040301697","Washer 4","2","GB/T97.1-2002"
"19","1040300044","Washer 4","2","GB/T93-1987"
"20","1029804041","Screw M4×25-4.8","2","GB/T70.1-2000"
"21","1020520943","Key  switch","1",""
"22","1020304979","Breaker","1",""
"23","1020502039","Emergency stop button","1",""
"24","1020201962","Ground control assembly","1",""
