"Item","Part No.","Description","Qty."
"1","00010656","Hose L2000","1"
"2","00010655","Hose L1500","2"
"3","10019222","Pipe assembly 1","1"
"4","10019223","Pipe assembly 2","1"
"5","00010653","Hose L1000","1"
"6","10025087","Pipe assembly 11","1"
"7","00010651","Hose L600","5"
"8","10025016","Pipe assembly 12","1"
"9","10019228","Pipe assembly 5","1"
"10","10019229","Pipe assembly 6","4"
"11","00010649","Hose L400","2"
"12","10019230","Pipe assembly 7","1"
"13","10019232","Pipe assembly 8","1"
"14","10019234","Pipe assembly 9","1"
"15","10019240","Pipe assembly 10","1"
"16","10025089","Pipe assembly 13","1"
"17","00010652","Hose L800","1"
"18","10025008","Pipe assembly 14","1"
"19","10021260","Hose assemnly L2700","1"
"20","10021242","Hose assemnly L3700","1"
"21","10021238","Hose assemnly L1700","5"
"22","10021239","Hose assemnly L3300","1"
"23","10025093","Hose assemnly L4400","1"
"24","10025092","Hose assemnly L3400","1"
"25","10023596","Hose assemnly L190","1"
"26","10021244","Hose assemnly L2200","2"
"27","10021235","Hose assemnly L300","3"
"28","10021243","Hose assemnly L5500","4"
