"序号","物料编码","名称及规格","版本","件数","备注"
"1","1140108020","接头","A","1","EW18L0MDCF"
"2","1140102812","端直通接头","A","1","GE18LREDOMDCF"
"3","1140101463","端直通接头","A","3","GE12LR1/2EDOMD
CF"
"4","1140101477","直角组合接头","A","2","EW12LOMDCF"
"5","1010307448","风扇驱动阀块","A","1","PKP20036"
"6","02151605300281011","散热控制阀安装板","A","1",""
"7","1040300771","垫圈","A","3","GB/T97.1-2002"
"8","1040301610","垫圈","A","3","GB/T93-1987"
"9","1040102598","螺钉","B","3","GB/T70.1-2000"
"10","1040302489","垫圈","B","4","GB/T97.1-2002"
"11","1040301502","垫圈","A","4","GB/T93-1987"
"12","1040103440","螺钉","A","4","GB/T70.1-2000"
"13","1140113796","组合接头","A","1","EV12LOMDCF"
