"序号","物料编码","名称及规格","版本","件数","备注"
"1","02150605200210002","液压油箱焊接件","A","1",""
"2","1010500489","空气过滤器","A","1","EFB480H150-W"
"3","1040202857","螺母","A","2","GB/T889.1-2000"
"4","1040302490","垫圈","B","2","GB/T97.1-2002"
"5","1040301503","垫圈","A","2","GB/T93-1987"
"6","1040004644","螺栓","A","2","GB/T5783-2000"
"7","02151605200601010","盖板","A","1",""
"8","1040004518","螺栓","A","14","GB/T5783-2000"
"9","1040301510","垫圈","A","14","GB/T93-1987"
"10","1040301515","垫圈","A","14","GB/T97.1-2002"
"11","00771405201601010","盖板橡胶垫","A","1",""
"12","1019901470","液位液温计","A","1","FSA-127-1.0/T/10"
"13","1040301502","垫圈","A","3","GB/T93-1987"
"14","1040004033","螺栓","A","3","GB/T5783-2000"
"15","1040303581","垫圈","A","3","GB/T96.1-2002"
"16","1140111237","端直通接头","A","1","GE08LREDOMDCF"
"17","1140101463","端直通接头","A","2","GE12LR1/2EDOMD
CF"
"18","1140105668","端直通接头","A","2","GE22LR1EDOMDA
3C"
"19","1019900975","堵头","A","1","VSTI1/4EDCF"
"20","1010602014","回油过滤器","A","1","RFMON210BD10A
1.X"
"21","1140103362","端直通接头","A","1","GE28LREDOMDCF"
"22","1140105661","铰接式接头","A","1","WH28LROMDA3C"
"23","1149901683","端直通接头","A","1","GE42LREDOMDCF"
"24","1140101992","螺塞","A","1","VSTI1/2EDCF"
"25","1140103573","内六角油口堵头","A","1","VSTI11/2EDA3C"
