"序号","物料编码","名称及规格","版本","件数","备注"
"1","1040301510","垫圈","A","8","GB/T93-1987"
"2","1040301515","垫圈","A","12","GB/T97.1-2002"
"3","1040004518","螺栓","A","4","GB/T5783-2000"
"4","02151601200001050","外顶","C","1",""
"5","02151601200001070","外顶底盖","A","1",""
"6","1040004519","螺栓","A","4","GB/T5783-2000"
"7","1040201089","螺母","A","4","GB/T6170-2000"
"8","1040102598","螺钉","B","2","GB/T70.1-2000"
"9","1040300771","垫圈","A","2","GB/T97.1-2002"
"10","1040000309","螺栓","A","4","GB/T1228-1991"
"11","02151601200001060","右C柱覆盖件","B","1",""
"12","1040301521","垫圈","A","4","GB/T1230-1991"
"13","1040201235","螺母","A","4","GB/T6170-2000"
"14","1139901357","驾驶室减震器","A","4","10-05365-1"
"15","02151601200001010","垫板","C","4",""
"16","02150601202000001","驾驶室24V","B","1",""
